names,rank,points,event,score
SEBRLE,1,8217,x100m,11.04
SEBRLE,1,8217,long_jump,7.58
SEBRLE,1,8217,shot_put,14.83
SEBRLE,1,8217,high_jump,2.07
SEBRLE,1,8217,x400m,49.81
SEBRLE,1,8217,x110m_hurdle,14.69
SEBRLE,1,8217,discus,43.75
SEBRLE,1,8217,pole_vault,5.02
SEBRLE,1,8217,javeline,63.19
SEBRLE,1,8217,x1500m,291.7
CLAY,2,8122,x100m,10.76
CLAY,2,8122,long_jump,7.4
CLAY,2,8122,shot_put,14.26
CLAY,2,8122,high_jump,1.86
CLAY,2,8122,x400m,49.37
CLAY,2,8122,x110m_hurdle,14.05
CLAY,2,8122,discus,50.72
CLAY,2,8122,pole_vault,4.92
CLAY,2,8122,javeline,60.15
CLAY,2,8122,x1500m,301.5
KARPOV,3,8099,x100m,11.02
KARPOV,3,8099,long_jump,7.3
KARPOV,3,8099,shot_put,14.77
KARPOV,3,8099,high_jump,2.04
KARPOV,3,8099,x400m,48.37
KARPOV,3,8099,x110m_hurdle,14.09
KARPOV,3,8099,discus,48.95
KARPOV,3,8099,pole_vault,4.92
KARPOV,3,8099,javeline,50.31
KARPOV,3,8099,x1500m,300.2
BERNARD,4,8067,x100m,11.02
BERNARD,4,8067,long_jump,7.23
BERNARD,4,8067,shot_put,14.25
BERNARD,4,8067,high_jump,1.92
BERNARD,4,8067,x400m,48.93
BERNARD,4,8067,x110m_hurdle,14.99
BERNARD,4,8067,discus,40.87
BERNARD,4,8067,pole_vault,5.32
BERNARD,4,8067,javeline,62.77
BERNARD,4,8067,x1500m,280.1
YURKOV,5,8036,x100m,11.34
YURKOV,5,8036,long_jump,7.09
YURKOV,5,8036,shot_put,15.19
YURKOV,5,8036,high_jump,2.1
YURKOV,5,8036,x400m,50.42
YURKOV,5,8036,x110m_hurdle,15.31
YURKOV,5,8036,discus,46.26
YURKOV,5,8036,pole_vault,4.72
YURKOV,5,8036,javeline,63.44
YURKOV,5,8036,x1500m,276.4
WARNERS,6,8030,x100m,11.11
WARNERS,6,8030,long_jump,7.6
WARNERS,6,8030,shot_put,14.31
WARNERS,6,8030,high_jump,1.98
WARNERS,6,8030,x400m,48.68
WARNERS,6,8030,x110m_hurdle,14.23
WARNERS,6,8030,discus,41.1
WARNERS,6,8030,pole_vault,4.92
WARNERS,6,8030,javeline,51.77
WARNERS,6,8030,x1500m,278.1
ZSIVOCZKY,7,8004,x100m,11.13
ZSIVOCZKY,7,8004,long_jump,7.3
ZSIVOCZKY,7,8004,shot_put,13.48
ZSIVOCZKY,7,8004,high_jump,2.01
ZSIVOCZKY,7,8004,x400m,48.62
ZSIVOCZKY,7,8004,x110m_hurdle,14.17
ZSIVOCZKY,7,8004,discus,45.67
ZSIVOCZKY,7,8004,pole_vault,4.42
ZSIVOCZKY,7,8004,javeline,55.37
ZSIVOCZKY,7,8004,x1500m,268
McMULLEN,8,7995,x100m,10.83
McMULLEN,8,7995,long_jump,7.31
McMULLEN,8,7995,shot_put,13.76
McMULLEN,8,7995,high_jump,2.13
McMULLEN,8,7995,x400m,49.91
McMULLEN,8,7995,x110m_hurdle,14.38
McMULLEN,8,7995,discus,44.41
McMULLEN,8,7995,pole_vault,4.42
McMULLEN,8,7995,javeline,56.37
McMULLEN,8,7995,x1500m,285.1
MARTINEAU,9,7802,x100m,11.64
MARTINEAU,9,7802,long_jump,6.81
MARTINEAU,9,7802,shot_put,14.57
MARTINEAU,9,7802,high_jump,1.95
MARTINEAU,9,7802,x400m,50.14
MARTINEAU,9,7802,x110m_hurdle,14.93
MARTINEAU,9,7802,discus,47.6
MARTINEAU,9,7802,pole_vault,4.92
MARTINEAU,9,7802,javeline,52.33
MARTINEAU,9,7802,x1500m,262.1
HERNU,10,7733,x100m,11.37
HERNU,10,7733,long_jump,7.56
HERNU,10,7733,shot_put,14.41
HERNU,10,7733,high_jump,1.86
HERNU,10,7733,x400m,51.1
HERNU,10,7733,x110m_hurdle,15.06
HERNU,10,7733,discus,44.99
HERNU,10,7733,pole_vault,4.82
HERNU,10,7733,javeline,57.19
HERNU,10,7733,x1500m,285.1
BARRAS,11,7708,x100m,11.33
BARRAS,11,7708,long_jump,6.97
BARRAS,11,7708,shot_put,14.09
BARRAS,11,7708,high_jump,1.95
BARRAS,11,7708,x400m,49.48
BARRAS,11,7708,x110m_hurdle,14.48
BARRAS,11,7708,discus,42.1
BARRAS,11,7708,pole_vault,4.72
BARRAS,11,7708,javeline,55.4
BARRAS,11,7708,x1500m,282
NOOL,12,7651,x100m,11.33
NOOL,12,7651,long_jump,7.27
NOOL,12,7651,shot_put,12.68
NOOL,12,7651,high_jump,1.98
NOOL,12,7651,x400m,49.2
NOOL,12,7651,x110m_hurdle,15.29
NOOL,12,7651,discus,37.92
NOOL,12,7651,pole_vault,4.62
NOOL,12,7651,javeline,57.44
NOOL,12,7651,x1500m,266.6
BOURGUIGNON,13,7313,x100m,11.36
BOURGUIGNON,13,7313,long_jump,6.8
BOURGUIGNON,13,7313,shot_put,13.46
BOURGUIGNON,13,7313,high_jump,1.86
BOURGUIGNON,13,7313,x400m,51.16
BOURGUIGNON,13,7313,x110m_hurdle,15.67
BOURGUIGNON,13,7313,discus,40.49
BOURGUIGNON,13,7313,pole_vault,5.02
BOURGUIGNON,13,7313,javeline,54.68
BOURGUIGNON,13,7313,x1500m,291.7
Sebrle,1,8893,x100m,10.85
Sebrle,1,8893,long_jump,7.84
Sebrle,1,8893,shot_put,16.36
Sebrle,1,8893,high_jump,2.12
Sebrle,1,8893,x400m,48.36
Sebrle,1,8893,x110m_hurdle,14.05
Sebrle,1,8893,discus,48.72
Sebrle,1,8893,pole_vault,5
Sebrle,1,8893,javeline,70.52
Sebrle,1,8893,x1500m,280.01
Clay,2,8820,x100m,10.44
Clay,2,8820,long_jump,7.96
Clay,2,8820,shot_put,15.23
Clay,2,8820,high_jump,2.06
Clay,2,8820,x400m,49.19
Clay,2,8820,x110m_hurdle,14.13
Clay,2,8820,discus,50.11
Clay,2,8820,pole_vault,4.9
Clay,2,8820,javeline,69.71
Clay,2,8820,x1500m,282
Karpov,3,8725,x100m,10.5
Karpov,3,8725,long_jump,7.81
Karpov,3,8725,shot_put,15.93
Karpov,3,8725,high_jump,2.09
Karpov,3,8725,x400m,46.81
Karpov,3,8725,x110m_hurdle,13.97
Karpov,3,8725,discus,51.65
Karpov,3,8725,pole_vault,4.6
Karpov,3,8725,javeline,55.54
Karpov,3,8725,x1500m,278.11
Macey,4,8414,x100m,10.89
Macey,4,8414,long_jump,7.47
Macey,4,8414,shot_put,15.73
Macey,4,8414,high_jump,2.15
Macey,4,8414,x400m,48.97
Macey,4,8414,x110m_hurdle,14.56
Macey,4,8414,discus,48.34
Macey,4,8414,pole_vault,4.4
Macey,4,8414,javeline,58.46
Macey,4,8414,x1500m,265.42
Warners,5,8343,x100m,10.62
Warners,5,8343,long_jump,7.74
Warners,5,8343,shot_put,14.48
Warners,5,8343,high_jump,1.97
Warners,5,8343,x400m,47.97
Warners,5,8343,x110m_hurdle,14.01
Warners,5,8343,discus,43.73
Warners,5,8343,pole_vault,4.9
Warners,5,8343,javeline,55.39
Warners,5,8343,x1500m,278.05
Zsivoczky,6,8287,x100m,10.91
Zsivoczky,6,8287,long_jump,7.14
Zsivoczky,6,8287,shot_put,15.31
Zsivoczky,6,8287,high_jump,2.12
Zsivoczky,6,8287,x400m,49.4
Zsivoczky,6,8287,x110m_hurdle,14.95
Zsivoczky,6,8287,discus,45.62
Zsivoczky,6,8287,pole_vault,4.7
Zsivoczky,6,8287,javeline,63.45
Zsivoczky,6,8287,x1500m,269.54
Hernu,7,8237,x100m,10.97
Hernu,7,8237,long_jump,7.19
Hernu,7,8237,shot_put,14.65
Hernu,7,8237,high_jump,2.03
Hernu,7,8237,x400m,48.73
Hernu,7,8237,x110m_hurdle,14.25
Hernu,7,8237,discus,44.72
Hernu,7,8237,pole_vault,4.8
Hernu,7,8237,javeline,57.76
Hernu,7,8237,x1500m,264.35
Nool,8,8235,x100m,10.8
Nool,8,8235,long_jump,7.53
Nool,8,8235,shot_put,14.26
Nool,8,8235,high_jump,1.88
Nool,8,8235,x400m,48.81
Nool,8,8235,x110m_hurdle,14.8
Nool,8,8235,discus,42.05
Nool,8,8235,pole_vault,5.4
Nool,8,8235,javeline,61.33
Nool,8,8235,x1500m,276.33
Bernard,9,8225,x100m,10.69
Bernard,9,8225,long_jump,7.48
Bernard,9,8225,shot_put,14.8
Bernard,9,8225,high_jump,2.12
Bernard,9,8225,x400m,49.13
Bernard,9,8225,x110m_hurdle,14.17
Bernard,9,8225,discus,44.75
Bernard,9,8225,pole_vault,4.4
Bernard,9,8225,javeline,55.27
Bernard,9,8225,x1500m,276.31
Schwarzl,10,8102,x100m,10.98
Schwarzl,10,8102,long_jump,7.49
Schwarzl,10,8102,shot_put,14.01
Schwarzl,10,8102,high_jump,1.94
Schwarzl,10,8102,x400m,49.76
Schwarzl,10,8102,x110m_hurdle,14.25
Schwarzl,10,8102,discus,42.43
Schwarzl,10,8102,pole_vault,5.1
Schwarzl,10,8102,javeline,56.32
Schwarzl,10,8102,x1500m,273.56
Pogorelov,11,8084,x100m,10.95
Pogorelov,11,8084,long_jump,7.31
Pogorelov,11,8084,shot_put,15.1
Pogorelov,11,8084,high_jump,2.06
Pogorelov,11,8084,x400m,50.79
Pogorelov,11,8084,x110m_hurdle,14.21
Pogorelov,11,8084,discus,44.6
Pogorelov,11,8084,pole_vault,5
Pogorelov,11,8084,javeline,53.45
Pogorelov,11,8084,x1500m,287.63
Schoenbeck,12,8077,x100m,10.9
Schoenbeck,12,8077,long_jump,7.3
Schoenbeck,12,8077,shot_put,14.77
Schoenbeck,12,8077,high_jump,1.88
Schoenbeck,12,8077,x400m,50.3
Schoenbeck,12,8077,x110m_hurdle,14.34
Schoenbeck,12,8077,discus,44.41
Schoenbeck,12,8077,pole_vault,5
Schoenbeck,12,8077,javeline,60.89
Schoenbeck,12,8077,x1500m,278.82
Barras,13,8067,x100m,11.14
Barras,13,8067,long_jump,6.99
Barras,13,8067,shot_put,14.91
Barras,13,8067,high_jump,1.94
Barras,13,8067,x400m,49.41
Barras,13,8067,x110m_hurdle,14.37
Barras,13,8067,discus,44.83
Barras,13,8067,pole_vault,4.6
Barras,13,8067,javeline,64.55
Barras,13,8067,x1500m,267.09
Smith,14,8023,x100m,10.85
Smith,14,8023,long_jump,6.81
Smith,14,8023,shot_put,15.24
Smith,14,8023,high_jump,1.91
Smith,14,8023,x400m,49.27
Smith,14,8023,x110m_hurdle,14.01
Smith,14,8023,discus,49.02
Smith,14,8023,pole_vault,4.2
Smith,14,8023,javeline,61.52
Smith,14,8023,x1500m,272.74
Averyanov,15,8021,x100m,10.55
Averyanov,15,8021,long_jump,7.34
Averyanov,15,8021,shot_put,14.44
Averyanov,15,8021,high_jump,1.94
Averyanov,15,8021,x400m,49.72
Averyanov,15,8021,x110m_hurdle,14.39
Averyanov,15,8021,discus,39.88
Averyanov,15,8021,pole_vault,4.8
Averyanov,15,8021,javeline,54.51
Averyanov,15,8021,x1500m,271.02
Ojaniemi,16,8006,x100m,10.68
Ojaniemi,16,8006,long_jump,7.5
Ojaniemi,16,8006,shot_put,14.97
Ojaniemi,16,8006,high_jump,1.94
Ojaniemi,16,8006,x400m,49.12
Ojaniemi,16,8006,x110m_hurdle,15.01
Ojaniemi,16,8006,discus,40.35
Ojaniemi,16,8006,pole_vault,4.6
Ojaniemi,16,8006,javeline,59.26
Ojaniemi,16,8006,x1500m,275.71
Smirnov,17,7993,x100m,10.89
Smirnov,17,7993,long_jump,7.07
Smirnov,17,7993,shot_put,13.88
Smirnov,17,7993,high_jump,1.94
Smirnov,17,7993,x400m,49.11
Smirnov,17,7993,x110m_hurdle,14.77
Smirnov,17,7993,discus,42.47
Smirnov,17,7993,pole_vault,4.7
Smirnov,17,7993,javeline,60.88
Smirnov,17,7993,x1500m,263.31
Qi,18,7934,x100m,11.06
Qi,18,7934,long_jump,7.34
Qi,18,7934,shot_put,13.55
Qi,18,7934,high_jump,1.97
Qi,18,7934,x400m,49.65
Qi,18,7934,x110m_hurdle,14.78
Qi,18,7934,discus,45.13
Qi,18,7934,pole_vault,4.5
Qi,18,7934,javeline,60.79
Qi,18,7934,x1500m,272.63
Drews,19,7926,x100m,10.87
Drews,19,7926,long_jump,7.38
Drews,19,7926,shot_put,13.07
Drews,19,7926,high_jump,1.88
Drews,19,7926,x400m,48.51
Drews,19,7926,x110m_hurdle,14.01
Drews,19,7926,discus,40.11
Drews,19,7926,pole_vault,5
Drews,19,7926,javeline,51.53
Drews,19,7926,x1500m,274.21
Parkhomenko,20,7918,x100m,11.14
Parkhomenko,20,7918,long_jump,6.61
Parkhomenko,20,7918,shot_put,15.69
Parkhomenko,20,7918,high_jump,2.03
Parkhomenko,20,7918,x400m,51.04
Parkhomenko,20,7918,x110m_hurdle,14.88
Parkhomenko,20,7918,discus,41.9
Parkhomenko,20,7918,pole_vault,4.8
Parkhomenko,20,7918,javeline,65.82
Parkhomenko,20,7918,x1500m,277.94
Terek,21,7893,x100m,10.92
Terek,21,7893,long_jump,6.94
Terek,21,7893,shot_put,15.15
Terek,21,7893,high_jump,1.94
Terek,21,7893,x400m,49.56
Terek,21,7893,x110m_hurdle,15.12
Terek,21,7893,discus,45.62
Terek,21,7893,pole_vault,5.3
Terek,21,7893,javeline,50.62
Terek,21,7893,x1500m,290.36
Gomez,22,7865,x100m,11.08
Gomez,22,7865,long_jump,7.26
Gomez,22,7865,shot_put,14.57
Gomez,22,7865,high_jump,1.85
Gomez,22,7865,x400m,48.61
Gomez,22,7865,x110m_hurdle,14.41
Gomez,22,7865,discus,40.95
Gomez,22,7865,pole_vault,4.4
Gomez,22,7865,javeline,60.71
Gomez,22,7865,x1500m,269.7
Turi,23,7708,x100m,11.08
Turi,23,7708,long_jump,6.91
Turi,23,7708,shot_put,13.62
Turi,23,7708,high_jump,2.03
Turi,23,7708,x400m,51.67
Turi,23,7708,x110m_hurdle,14.26
Turi,23,7708,discus,39.83
Turi,23,7708,pole_vault,4.8
Turi,23,7708,javeline,59.34
Turi,23,7708,x1500m,290.01
Lorenzo,24,7592,x100m,11.1
Lorenzo,24,7592,long_jump,7.03
Lorenzo,24,7592,shot_put,13.22
Lorenzo,24,7592,high_jump,1.85
Lorenzo,24,7592,x400m,49.34
Lorenzo,24,7592,x110m_hurdle,15.38
Lorenzo,24,7592,discus,40.22
Lorenzo,24,7592,pole_vault,4.5
Lorenzo,24,7592,javeline,58.36
Lorenzo,24,7592,x1500m,263.08
Karlivans,25,7583,x100m,11.33
Karlivans,25,7583,long_jump,7.26
Karlivans,25,7583,shot_put,13.3
Karlivans,25,7583,high_jump,1.97
Karlivans,25,7583,x400m,50.54
Karlivans,25,7583,x110m_hurdle,14.98
Karlivans,25,7583,discus,43.34
Karlivans,25,7583,pole_vault,4.5
Karlivans,25,7583,javeline,52.92
Karlivans,25,7583,x1500m,278.67
Korkizoglou,26,7573,x100m,10.86
Korkizoglou,26,7573,long_jump,7.07
Korkizoglou,26,7573,shot_put,14.81
Korkizoglou,26,7573,high_jump,1.94
Korkizoglou,26,7573,x400m,51.16
Korkizoglou,26,7573,x110m_hurdle,14.96
Korkizoglou,26,7573,discus,46.07
Korkizoglou,26,7573,pole_vault,4.7
Korkizoglou,26,7573,javeline,53.05
Korkizoglou,26,7573,x1500m,317
Uldal,27,7495,x100m,11.23
Uldal,27,7495,long_jump,6.99
Uldal,27,7495,shot_put,13.53
Uldal,27,7495,high_jump,1.85
Uldal,27,7495,x400m,50.95
Uldal,27,7495,x110m_hurdle,15.09
Uldal,27,7495,discus,43.01
Uldal,27,7495,pole_vault,4.5
Uldal,27,7495,javeline,60
Uldal,27,7495,x1500m,281.7
Casarsa,28,7404,x100m,11.36
Casarsa,28,7404,long_jump,6.68
Casarsa,28,7404,shot_put,14.92
Casarsa,28,7404,high_jump,1.94
Casarsa,28,7404,x400m,53.2
Casarsa,28,7404,x110m_hurdle,15.39
Casarsa,28,7404,discus,48.66
Casarsa,28,7404,pole_vault,4.4
Casarsa,28,7404,javeline,58.62
Casarsa,28,7404,x1500m,296.12
